,Category,Precision,Recall,F1-Score
1,request,0.8994881807646437,0.8993135011441648,0.8841544102140488
2,offer,0.9931467934586241,0.9965675057208238,0.994854209149384
3,aid_related,0.7715568674463696,0.7694508009153318,0.7636150075007966
4,medical_help,0.9013787393544027,0.915903890160183,0.8797293769815485
5,medical_products,0.9418590094877259,0.9513729977116705,0.930436390932669
6,search_and_rescue,0.9729343895749994,0.9721586575133486,0.959157810947398
7,security,0.9603551492650639,0.9799771167048055,0.9700669176049302
8,military,0.9602814840498509,0.9677726926010679,0.9538301854093106
9,child_alone,1.0,1.0,1.0
10,water,0.9496817269056548,0.9519450800915332,0.938330980279717
11,food,0.9190405846813009,0.9244851258581236,0.9112530867694087
12,shelter,0.9262695620622198,0.9324942791762014,0.9169740588929323
13,clothing,0.9866440991335894,0.9864607170099161,0.9800982811853662
14,money,0.9783688919867439,0.9778794813119756,0.9671304053103098
15,missing_people,0.9776246770127321,0.9887490465293669,0.9831553948134562
16,refugees,0.9406270925405116,0.9649122807017544,0.948426121949057
17,death,0.9598896458203645,0.959954233409611,0.9440926735435828
18,other_aid,0.8683005394793657,0.8672768878718535,0.8071208587103877
19,infrastructure_related,0.8681114610989074,0.9315408085430968,0.8987083405156623
20,transport,0.9436468181176803,0.9536613272311213,0.9347231340860719
21,buildings,0.9436649000061372,0.9511823035850496,0.931347603926959
22,electricity,0.9796467136560284,0.9792143401983219,0.9696413605793242
23,tools,0.9885910802276808,0.994279176201373,0.9914269697291946
24,hospitals,0.9787562961062325,0.9893211289092296,0.9840103559779684
25,shops,0.9897290267006686,0.9948512585812357,0.9922835323617831
26,aid_centers,0.9753634024952276,0.9876048817696415,0.9814459719245847
27,other_infrastructure,0.9105530704336741,0.954042715484363,0.9317907188999226
28,weather_related,0.864124101717252,0.8596491228070176,0.850204225177696
29,floods,0.937231063746213,0.9395499618611747,0.9269943557517133
30,storm,0.9276039837484056,0.9334477498093059,0.9233724451386698
31,fire,0.980266139763231,0.9900839054157132,0.9851505628436916
32,earthquake,0.9633994418371584,0.9645308924485125,0.9622357857569561
33,cold,0.9743987828059769,0.9786422578184591,0.9701761055136938
34,other_weather,0.9107664384573693,0.9416475972540046,0.9157037722428182
35,direct_report,0.8687791689873274,0.868230358504958,0.84384748017775
